sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Eredivisie 2024 2025,Round 16,16/12/,Ajax,Almere City,3,0,0,1.2,8.17,13.8,g_1_SCijoADF,1.32,0.07
football,Eredivisie 2024 2025,Round 16,15/12/,Nijmegen,Sparta Rotterdam,1,1,1,2.17,3.5,3.52,g_1_C2vcs1Cs,1.67,1.06
football,Eredivisie 2024 2025,Round 16,15/12/,Twente,Groningen,2,0,0,1.37,5.12,9.4,g_1_0QkbqlrS,1.02,0.57
football,Eredivisie 2024 2025,Round 16,15/12/,Utrecht,G.A. Eagles,3,3,1,2.1,3.49,3.73,g_1_KAWUwS5k,3.48,0.46
football,Eredivisie 2024 2025,Round 16,15/12/,Feyenoord,Heracles,5,2,0,1.16,8.52,21.0,g_1_Q7Zxx6z2,3.38,0.85
football,Eredivisie 2024 2025,Round 16,15/12/,Sittard,Waalwijk,3,2,0,1.69,3.98,5.36,g_1_63CPa9S8,2.87,1.64
football,Eredivisie 2024 2025,Round 16,15/12/,Heerenveen,PSV,1,0,0,12.7,6.11,1.27,g_1_0pnFyctJ,1.01,1.01
football,Eredivisie 2024 2025,Round 16,14/12/,Zwolle,Willem II,0,1,2,1.89,3.51,4.64,g_1_trWDwJB6,1.47,0.53
football,Eredivisie 2024 2025,Round 15,09/12/,Almere City,Utrecht,1,3,2,5.07,3.91,1.73,g_1_CM2ZJXEG,1.15,1.65
football,Eredivisie 2024 2025,Round 15,08/12/,AZ Alkmaar,Ajax,2,1,0,2.76,3.68,2.52,g_1_YyirIBqT,1.49,0.27
football,Eredivisie 2024 2025,Round 15,08/12/,Willem II,Heerenveen,1,2,2,2.32,3.19,3.5,g_1_WpbsmWr3,0.7,1.87
football,Eredivisie 2024 2025,Round 15,08/12/,Groningen,Zwolle,0,0,1,2.09,3.32,3.98,g_1_4KsECk7j,0.71,0.8
football,Eredivisie 2024 2025,Round 15,08/12/,Heracles,Sittard,2,2,1,2.2,3.38,3.58,g_1_jDN8YWT9,1.43,0.71
football,Eredivisie 2024 2025,Round 15,08/12/,Waalwijk,Feyenoord,2,3,2,11.8,7.0,1.25,g_1_IN7mRlMq,0.84,2.0
football,Eredivisie 2024 2025,Round 15,08/12/,Sparta Rotterdam,NAC Breda,0,2,2,1.8,3.8,4.72,g_1_vwddPSjd,1.64,1.93
football,Eredivisie 2024 2025,Round 15,08/12/,G.A. Eagles,Nijmegen,5,0,0,2.05,3.69,3.69,g_1_IaP0zgac,1.78,0.66
football,Eredivisie 2024 2025,Round 15,07/12/,PSV,Twente,6,1,0,1.36,5.64,8.51,g_1_nuHHWAbM,2.23,1.03
football,Eredivisie 2024 2025,Round 5,05/12/,Ajax,Utrecht,2,2,1,1.41,5.03,8.19,g_1_67YNPpCk,0.68,1.16
